idMorada,rua,nPorta,localidade,codPostal,pais,detalhes
1,Ridgeview,36353,Malax,44950,Finland,None
2,Rowland,67,Fushëkuqe,None,Albania,None
3,Pankratz,250,Saint-Brieuc,22091 CEDEX 9,France,None
4,3rd,753,Benito Juarez,96720,Mexico,None
5,Debs,117,Inhumas,75400-000,Brazil,None
6,Fuller,36525,Misawa,992-1202,Japan,None
7,Walton,282,Candelaria,4323,Philippines,None
8,Walton,5390,Karangbayat,None,Indonesia,None
9,Wayridge,9,Sumanding,None,Indonesia,None
10,Muir,6,Hutag,None,Mongolia,None
11,Shasta,637,Laohugang,None,China,None
12,Aberg,49062,Penamacor,6090-511,Portugal,None
13,Loomis,26,Bošnjaci,32275,Croatia,None
14,Derek,73909,Cergy-Pontoise,95061 CEDEX 1,France,None
15,Dennis,244,Erdaocha,None,China,None
16,Brickson Park,5,Vrané nad Vltavou,252 46,Czech Republic,None
17,Basil,609,Dongting,None,China,None
18,Waxwing,86159,Cireundang,None,Indonesia,None
19,Anthes,5362,Leskolovo,188668,Russia,None
20,Kipling,232,Fu’an,None,China,None
21,Northview,55911,Aracruz,29190-000,Brazil,None
22,Moland,898,Canturay,1676,Philippines,None
23,Park Meadow,7109,Woja,None,Indonesia,Suite 7
24,Laurel,8340,Yogyakarta,None,Indonesia,15th Floor
25,Cascade,956,Chesma,457229,Russia,None
26,Westerfield,21,Jurva,66301,Finland,None
27,Towne,88,Leworook,None,Indonesia,Room 276
28,Killdeer,89,Yong’an,None,China,None
29,Morrow,46315,Kurlovo,601570,Russia,None
30,Old Gate,9179,Takāb,None,Iran,None
31,Dakota,2,Dulyapino,157825,Russia,None
32,Sloan,29,Kedungwaru,None,Indonesia,None
33,Clarendon,687,Itajaí,88300-000,Brazil,8th Floor
34,East,869,Camlachie,G5Z,Canada,None
35,Elmside,5163,Sop Pong,30270,Thailand,None
36,Chinook,841,Aipe,411008,Colombia,None
37,Surrey,597,Gumuk Tengah,None,Indonesia,None
38,Buell,3,Ash Shajarah,None,Jordan,None
39,Ohio,9536,Muara,None,Indonesia,None
40,Grim,82,K’anak’erravan,None,Armenia,3rd Floor
41,Logan,324,Līvāni,None,Latvia,None
42,Mandrake,1,Goba,None,Ethiopia,None
43,Glendale,684,Ḩarf al Musaytirah,None,Syria,None
44,Sutherland,1082,Yandun,None,China,None
45,Gulseth,84492,Kalibuntu,None,Indonesia,None
46,Oxford,2682,Qal‘ah-ye Kuhnah,None,Afghanistan,None
47,Drewry,6,Tournon-sur-Rhône,07304 CEDEX,France,None
48,Meadow Ridge,2135,Rybnoye,393917,Russia,None
49,Victoria,660,Haocun,None,China,None
50,Ridgeway,1,Penanggapan,None,Indonesia,None
51,Northport,5,Ad Darbāsīyah,None,Syria,None
52,Bay,779,Haghartsin,None,Armenia,None
53,Merchant,334,Kiviõli,None,Estonia,None
54,Clyde Gallagher,231,Leżajsk,37-300,Poland,None
55,Acker,46,Filimonovo,663620,Russia,None
56,Sheridan,253,Mališevo,None,Kosovo,None
57,Declaration,4,28 de Noviembre,9407,Argentina,None
58,Shopko,392,Hetian,None,China,None
59,Northview,212,Jinping,None,China,None
60,Homewood,8,Yashan,None,China,None
61,Armistice,3286,Kembang,None,Indonesia,None
62,Fulton,39,Zhangcun,None,China,None
63,Lighthouse Bay,33,Bilbays,None,Egypt,None
64,Butternut,252,Shahrak,None,Afghanistan,None
65,Talmadge,8008,Nizhnyaya Omka,646620,Russia,None
66,Corry,875,Chanuman,34260,Thailand,2nd Floor
67,Straubel,413,Espinho,3220-077,Portugal,None
68,Anzinger,27,Guyang,None,China,None
69,American Ash,63,Kebon Tengah,None,Indonesia,None
70,Atwood,5,Zgornje Pirniče,1356,Slovenia,None
71,Stoughton,64,Sesheke,None,Zambia,None
72,Upham,53,Biggar,N1S,Canada,None
73,Monterey,6640,Rancabungur,None,Indonesia,PO Box 68169
74,Carberry,91110,Ust’-Labinsk,385321,Russia,None
75,Evergreen,1,Kimakamak,None,Indonesia,None
76,Mcbride,915,Mbandjok,None,Cameroon,None
77,Oriole,86211,Alcanhões,2000-355,Portugal,None
78,Linden,589,Ahmadpur Siāl,39351,Pakistan,None
79,Continental,9727,Göteborg,418 03,Sweden,None
80,Northport,20149,Nogent-le-Rotrou,28404 CEDEX,France,None
81,Cascade,21,Nancun,None,China,None
82,Homewood,4,Angkup,None,Indonesia,None
83,Independence,8767,Hotaka,399-8303,Japan,None
84,Sunnyside,8,Fréjus,83613 CEDEX,France,None
85,Ryan,127,Badean,None,Indonesia,None
86,Onsgard,24,Tha Tako,60160,Thailand,Room 283
87,Caliangt,42,Hanjia,None,China,None
88,Maryland,6,Beizhakou,None,China,None
89,Holy Cross,29,Moscow,368222,Russia,None
90,Nova,5213,Kolor,None,Indonesia,None
91,Bultman,40,Charneca da Cotovia,2970-833,Portugal,None
92,Autumn Leaf,34375,Jiuting,None,China,None
93,Cordelia,2057,Guandu,None,China,None
94,Northwestern,91968,Hantang,None,China,None
