idPodio,descricao,idAtleta
1,Ouro,1
2,Prata,2
3,Bronze,6
4,Ouro,3
5,Prata,4
6,Bronze,8
7,Ouro,5
8,Prata,9
9,Bronze,10
10,Ouro,11
11,Prata,12
12,Bronze,13
13,Ouro,15
14,Prata,16
15,Bronze,17
16,Ouro,18
17,Prata,19
18,Bronze,20
19,Ouro,22
20,Prata,23
21,Bronze,24
22,Ouro,26
23,Prata,27
24,Bronze,28
25,Ouro,29
26,Prata,30
27,Bronze,31
28,Ouro,32
29,Prata,33
30,Bronze,34
31,Ouro,35
32,Prata,36
33,Bronze,37
34,Ouro,38
35,Prata,39
36,Bronze,40
37,Ouro,41
38,Prata,42
39,Bronze,43
40,Ouro,44
41,Prata,45
42,Bronze,46
43,Ouro,47
44,Prata,48
45,Bronze,49
46,Ouro,50
47,Prata,1
48,Bronze,2
